Total Simulation steps: 570
Td	ID	Tj	Df	Dd	Db
262	3017	254	6	2	8
262	2973	243	17	2	19
262	2953	238	22	2	24
263	2962	240	9	14	23
263	2963	240	9	14	23
263	2999	249	7	7	14
263	2998	249	7	7	14
263	2967	241	9	13	22
263	3003	250	6	7	13
263	3000	250	6	7	13
264	2927	231	9	24	33
264	2926	231	9	24	33
264	2964	241	9	14	23
265	2975	243	8	14	22
265	2938	234	9	22	31
265	2970	242	9	14	23
265	2971	242	9	14	23
265	2942	235	9	21	30
265	2969	242	19	4	23
265	2849	212	50	3	53
265	3012	253	6	6	12
265	2935	233	10	22	32
266	2934	233	10	23	33
266	2976	244	8	14	22
266	2978	244	8	14	22
266	2979	244	8	14	22
266	2943	235	9	22	31
266	3041	260	1	5	6
266	2984	246	7	13	20
267	2980	245	8	14	22
267	2947	236	9	22	31
267	2946	236	9	22	31
267	3016	254	6	7	13
267	2965	241	22	4	26
267	2961	240	24	3	27
268	2990	247	7	14	21
268	2991	247	7	14	21
268	2957	239	25	4	29
269	3028	257	6	6	12
269	3004	251	6	12	18
269	3057	264	1	4	5
270	3006	251	6	13	19
270	3007	251	6	13	19
270	2966	241	9	20	29
270	3008	252	6	12	18
270	3036	259	6	5	11
271	3011	252	6	13	19
271	3040	260	6	5	11
271	3014	253	6	12	18
271	3015	253	6	12	18
271	3049	262	3	6	9
271	3065	266	1	4	5
272	3018	254	6	12	18
272	3019	254	6	12	18
272	2983	245	8	19	27
272	2982	245	8	19	27
273	3027	256	6	11	17
273	3048	262	6	5	11
274	3020	255	6	13	19
274	3023	255	6	13	19
274	3024	256	6	12	18
275	3056	264	5	6	11
275	3030	257	6	12	18
275	3031	257	6	12	18
275	3032	258	6	11	17
275	3034	258	6	11	17
276	3060	265	5	6	11
276	3035	258	6	12	18
276	3010	252	6	18	24
277	3038	259	6	12	18
277	3064	266	5	6	11
278	3039	259	6	13	19
279	3050	262	6	11	17
279	3051	262	6	11	17
280	3072	268	5	7	12
280	3044	261	6	13	19
280	3076	269	5	6	11
280	3026	256	6	18	24
281	3052	263	5	13	18
281	3054	263	6	12	18
281	3055	263	6	12	18
281	3058	264	5	12	17
282	3062	265	5	12	17
282	3080	270	6	6	12
282	3097	274	6	2	8
282	3022	255	25	2	27
282	3066	266	5	11	16
282	3067	266	5	11	16
283	3084	271	6	6	12
283	3063	265	5	13	18
283	3013	253	28	2	30
283	3021	255	25	3	28
283	3046	261	6	16	22
284	3068	267	4	13	17
284	3061	265	17	2	19
284	3125	281	1	2	3
284	3117	279	2	3	5
284	3092	273	6	5	11
284	3070	267	5	12	17
285	3071	267	5	13	18
285	3047	261	6	18	24
285	3079	269	5	11	16
285	3074	268	5	12	17
285	3122	280	1	4	5
285	3033	258	22	5	27
